scenario_id,E_RF_Jm,E_BAT_Jm,E_BB_Jm,E_PA_Jm
6Pro_4G_meet_stat,55.9,230.46,50.83,5.08
6Pro_4G_teams_stat,71.26,215.64,53.62,17.64
6Pro_4G_zoom_stat,71.98,308.51,65.28,6.7
6Pro_5G_meet_stat,64.26,219.85,56.1,8.15
6Pro_5G_teams_stat,76.69,251.25,56.58,20.11
6Pro_5G_zoom_stat,67.38499999999999,261.41499999999996,59.129999999999995,8.25
