scenario_id,E_RF_Jm,E_BAT_Jm,E_BB_Jm,E_PA_Jm
6Pro_4G_web_stat,52.29,196.84,48.71,3.59
6Pro_5G_web_stat,64.17,185.19,51.78,12.4
